---- Options ----
width: 10
height: 20
block_size: 30
batch_size: 512
lr: 0.001
gamma: 0.999
initial_epsilon: 0.9
final_epsilon: 0.001
num_decay_epochs: 1000
num_episodes: 10000
max_episode_length: 5000
save_interval: 200
replay_memory_size: 50000
tensorboard_dir: runs
saved_dir: output/gamma0999
log_file: output/gamma0999/train.log
gpu: 1
sim_rom_mode: False
--------

Episode: 282/10000, Score: 20, Tetrominoes 22, Cleared lines: 0
Episode: 283/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 284/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 285/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 286/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 287/10000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 288/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 289/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 290/10000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 291/10000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 292/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 293/10000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 294/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 295/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 296/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 297/10000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 298/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 299/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 300/10000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 301/10000, Score: 31, Tetrominoes 23, Cleared lines: 1
Episode: 302/10000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 303/10000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 304/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 305/10000, Score: 7, Tetrominoes 9, Cleared lines: 0
Episode: 306/10000, Score: 9, Tetrominoes 11, Cleared lines: 0
Episode: 307/10000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 308/10000, Score: 20, Tetrominoes 22, Cleared lines: 0
Episode: 309/10000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 310/10000, Score: 20, Tetrominoes 22, Cleared lines: 0
Episode: 311/10000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 312/10000, Score: 8, Tetrominoes 10, Cleared lines: 0
Episode: 313/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 314/10000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 315/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 316/10000, Score: 21, Tetrominoes 23, Cleared lines: 0
Episode: 317/10000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 318/10000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 319/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 320/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 321/10000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 322/10000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 323/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 324/10000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 325/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 326/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 327/10000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 328/10000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 329/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 330/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 331/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 332/10000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 333/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 334/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 335/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 336/10000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 337/10000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 338/10000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 339/10000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 340/10000, Score: 8, Tetrominoes 10, Cleared lines: 0
Episode: 341/10000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 342/10000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 343/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 344/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 345/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 346/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 347/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 348/10000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 349/10000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 350/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 351/10000, Score: 31, Tetrominoes 23, Cleared lines: 1
Episode: 352/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 353/10000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 354/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 355/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 356/10000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 357/10000, Score: 31, Tetrominoes 23, Cleared lines: 1
Episode: 358/10000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 359/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 360/10000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 361/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 362/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
